answer rank,anon_stu_id,Who am I?,random values for sorting,code,valence,coder,note
9,stu_GFFKY6093O,tired all the time.,0.266910013,45,neutral,frank,
10,stu_GFFKY6093O,"someone i dont know yet,",0.930264003,42,neutral,clara,
11,stu_GFFKY6093O,a lover of horror games.,0.660115359,24,positive,clara,
12,stu_GFFKY6093O,[first name].,0.255710631,5,none,frank,
13,stu_GFFKY6093O,a person with interest in psychology.,0.164048912,25,positive,frank,
14,stu_GFFKY6093O,An author.,0.977287692,26,neutral,clara,
15,stu_GFFKY6093O,Someone who wants an older sister.,0.6748645259999999,33,neutral,clara,
15,stu_GFFKY6093O,Someone who wants an older sister.,0.6748645259999999,12,neutral,clara,
16,stu_GFFKY6093O,colorful.,0.39164954799999996,45,positive,frank,
17,stu_GFFKY6093O,Saved.,0.018881842,16,saved,used for IRR check,
18,stu_GFFKY6093O,"a person whos sometimes confident,",0.736093743,41,neutral,clara,
19,stu_GFFKY6093O,A book reader.,0.600058489,25,neutral,clara,
20,stu_GFFKY6093O,A person I don't want to be.,0.41675018799999997,42,negative,frank,
1,stu_HIOQV7845M,[student first name],0.8731466790000001,5,none,clara,
2,stu_HIOQV7845M,skincare ambassador,0.23222595899999998,13,neutral,frank,
3,stu_HIOQV7845M,A 12 year old,0.5675372670000001,4,12,clara,
4,stu_HIOQV7845M,A baker,0.20047907199999998,31,neutral,frank,
5,stu_HIOQV7845M,Am a biker,0.329865891,31,neutral,frank,
6,stu_HIOQV7845M,I am a gta player,0.30394712,28,neutral,frank,
7,stu_HIOQV7845M,I am walker,0.107730261,31,neutral,frank,
8,stu_HIOQV7845M,I am a smart person,0.377281918,43,positive,frank,
9,stu_HIOQV7845M,I am a sibling,0.206416834,12,neutral,frank,
10,stu_HIOQV7845M,I am a hard worker,0.6768491999999999,41,positive,clara,
11,stu_HIOQV7845M,I am a person,0.7975168029999999,21,none,clara,
12,stu_HIOQV7845M,I am a math person,0.641229713,25,neutral,clara,
12,stu_HIOQV7845M,I am a math person,0.641229713,22,mathperson,clara,
13,stu_HIOQV7845M,I am a science person,0.033032743999999996,25,positive,used for IRR check,
13,stu_HIOQV7845M,I am a science person,0.033032743999999996,22,scienceperson,used for IRR check,
14,stu_HIOQV7845M,I am a ela person,0.5045473629999999,25,neutral,frank,
15,stu_HIOQV7845M,A person that draws,0.42659154299999996,26,neutral,frank,
16,stu_HIOQV7845M,I am a person that like to write,0.6925557390000001,25,positive,clara,
16,stu_HIOQV7845M,I am a person that like to write,0.6925557390000001,24,positive,clara,
17,stu_HIOQV7845M,I am a sketch,0.186425683,48,none,frank,
18,stu_HIOQV7845M,I am a person that like shoes,0.224608515,24,positive,frank,
18,stu_HIOQV7845M,I am a person that like shoes,0.224608515,21,none,frank,
19,stu_HIOQV7845M,I am a person that does not like school,0.60671948,14,negative,clara,
20,stu_HIOQV7845M,I am a person that like to play basket ball,0.7844589940000001,29,positive,clara,
20,stu_HIOQV7845M,I am a person that like to play basket ball,0.7844589940000001,24,positive,clara,
1,stu_HQLEQ8686E,An Athlete,0.009154922,29,neutral,used for IRR check,
2,stu_HQLEQ8686E,A trustworthy person,0.65135702,46,positive,clara,
3,stu_HQLEQ8686E,A respectful student,0.581252028,44,positive,clara,
3,stu_HQLEQ8686E,A respectful student,0.581252028,14,positive,clara,
4,stu_HQLEQ8686E,A son,0.251100736,12,neutral,frank,
4,stu_HQLEQ8686E,A son,0.251100736,2,boy,frank,
5,stu_HQLEQ8686E,A brother,0.640703922,12,neutral,clara,
5,stu_HQLEQ8686E,A brother,0.640703922,2,boy,clara,
6,stu_HQLEQ8686E,A role Model,0.423849061,40,positive,frank,
7,stu_HQLEQ8686E,A soccer player,0.733599186,29,neutral,clara,
8,stu_HQLEQ8686E,A captain,0.756426514,22,captain,clara,
9,stu_HQLEQ8686E,I am competitive,0.41301791,44,neutral,frank,
10,stu_HQLEQ8686E,I am easily angered,0.131217491,44,negative,frank,
11,stu_HQLEQ8686E,I am forever loved,0.068642827,42,positive,used for IRR check,
12,stu_HQLEQ8686E,I am buff,0.557767376,35,neutral,clara,
13,stu_HQLEQ8686E,I am masculine,0.606433879,2,masculine,clara,
14,stu_HQLEQ8686E,I am amazing,0.588098725,43,positive,clara,
15,stu_HQLEQ8686E,I am wonderful,0.660222796,43,positive,clara,
16,stu_HQLEQ8686E,I am the best me,0.708052523,42,positive,clara,
16,stu_HQLEQ8686E,I am the best me,0.708052523,19,none,clara,
17,stu_HQLEQ8686E,I am special,0.7489291640000001,46,positive,clara,
18,stu_HQLEQ8686E,I am able to do anything if I try,0.960717802,43,positive,clara,
19,stu_HQLEQ8686E,I am capable,0.22908568399999998,43,positive,frank,
20,stu_HQLEQ8686E,I am ME,0.09968734,19,none,frank,
1,stu_ISGJY3101F,him,0.6667105720000001,48,none,clara,
2,stu_ISGJY3101F,cool,0.279625004,46,positive,frank,
3,stu_ISGJY3101F,nice,0.223363217,44,positive,frank,
4,stu_ISGJY3101F,friendly,0.201347153,44,positive,frank,
5,stu_ISGJY3101F,black,0.185309219,6,black,frank,
6,stu_ISGJY3101F,fun,0.13911790699999999,45,positive,frank,
7,stu_ISGJY3101F,child,0.7592024959999999,22,child,clara,
7,stu_ISGJY3101F,child,0.7592024959999999,4,child,clara,
8,stu_ISGJY3101F,kid,0.560742049,22,child,clara,
8,stu_ISGJY3101F,kid,0.560742049,4,child,clara,
9,stu_ISGJY3101F,fine,0.12359764,47,neutral,frank,
10,stu_ISGJY3101F,boy,0.333200981,2,boy,frank,
11,stu_ISGJY3101F,i love math,0.520508902,25,positive,frank,
11,stu_ISGJY3101F,i love math,0.520508902,24,positive,frank,
12,stu_ISGJY3101F,so,0.024082489,48,none,used for IRR check,
13,stu_ISGJY3101F,word,0.841852182,48,none,clara,
14,stu_ISGJY3101F,smart,0.591258234,43,positive,clara,
15,stu_ISGJY3101F,basketball,0.444359602,29,neutral,frank,
16,stu_ISGJY3101F,football,0.093240194,48,none,used for IRR check,
17,stu_ISGJY3101F,tall,0.23112020600000002,35,neutral,frank,
18,stu_ISGJY3101F,taken,0.541617544,48,none,clara,
19,stu_ISGJY3101F,i like dogs,0.9834336909999999,24,positive,clara,
20,stu_ISGJY3101F,i like cats,0.290091645,24,postitive,frank,
1,stu_JDLQP0371P,smart,0.715456694,43,positive,clara,
2,stu_JDLQP0371P,kind,0.118593307,44,positive,frank,
3,stu_JDLQP0371P,believer,0.481013216,16,believer,frank,
4,stu_JDLQP0371P,pretty,0.98124167,35,positive,clara,
5,stu_JDLQP0371P,respectful,0.040625493,44,positive,used for IRR check,
6,stu_JDLQP0371P,fashionist,0.257247874,26,neutral,frank,
7,stu_JDLQP0371P,short,0.018921369,35,neutral,used for IRR check,
8,stu_JDLQP0371P,singer,0.067396421,26,neutral,used for IRR check,
9,stu_JDLQP0371P,dancer,0.9391340859999999,26,neutral,clara,
10,stu_JDLQP0371P,generous,0.608670531,44,positive,clara,
11,stu_JDLQP0371P,young,0.102874816,4,child,frank,
12,stu_JDLQP0371P,talkative,0.512817641,44,neutral,frank,
13,stu_JDLQP0371P,thinker,0.54210062,25,neutral,clara,
14,stu_JDLQP0371P,helpful,0.645292549,46,positive,clara,
15,stu_JDLQP0371P,uncalm,0.097301296,45,negative,frank,
16,stu_JDLQP0371P,funny,0.844714203,46,positive,clara,
17,stu_JDLQP0371P,fun loving,0.23311059,44,postive,frank,
18,stu_JDLQP0371P,sassy,0.782110047,44,neutral,clara,
19,stu_JDLQP0371P,actress,0.392496411,26,neutral,frank,
19,stu_JDLQP0371P,actress,0.392496411,2,girl,frank,
20,stu_JDLQP0371P,translating,0.174849705,47,neutral,frank,
1,stu_KCGJR0046I,I am a 7th grader,0.43604710799999996,22,seventhgrader,frank,
1,stu_KCGJR0046I,I am a 7th grader,0.43604710799999996,14,neutral,frank,
2,stu_KCGJR0046I,I play softball for the [team name],0.065042137,29,softballplayer,used for IRR check,
2,stu_KCGJR0046I,I play softball for the [team name],0.065042137,18,softballplayer,used for IRR check,
3,stu_KCGJR0046I,i am 13years old,0.94114285,4,13,clara,
4,stu_KCGJR0046I,I am an only child,0.439322105,12,neutral,frank,
5,stu_KCGJR0046I,i am a bestfriend,0.9814767790000001,10,positive,clara,
6,stu_KCGJR0046I,I am funny,0.24867036899999997,45,positive,frank,
7,stu_KCGJR0046I,I am good with kids,0.38317535700000005,44,positive,frank,
8,stu_KCGJR0046I,I love mint chocolate chip ice cream,0.878325604,24,positive,clara,
9,stu_KCGJR0046I,I am a daughter,0.068970608,12,neutral,used for IRR check,
9,stu_KCGJR0046I,I am a daughter,0.068970608,2,girl,used for IRR check,
10,stu_KCGJR0046I,I am always sleepy,0.030594362000000003,45,neutral,used for IRR check,
11,stu_KCGJR0046I,I am Philopena and Puerto Rican,0.691793911,7,filipina and puerto rican,clara,
12,stu_KCGJR0046I,I like to draw,0.18788598399999998,26,positive,frank,
12,stu_KCGJR0046I,I like to draw,0.18788598399999998,24,positive,frank,
13,stu_KCGJR0046I,My favorite subject is history,0.5932757120000001,25,positive,clara,
13,stu_KCGJR0046I,My favorite subject is history,0.5932757120000001,14,positive,clara,
13,stu_KCGJR0046I,My favorite subject is history,0.5932757120000001,24,positive,clara,
14,stu_KCGJR0046I,I am like .5% Hawaiian,0.5083435470000001,7,hawaiian,frank,
15,stu_KCGJR0046I,I have two cats,0.299814759,32,none,frank,
16,stu_KCGJR0046I,I love to go on walks,0.038695932999999995,29,positive,used for IRR check,
16,stu_KCGJR0046I,I love to go on walks,0.038695932999999995,24,positive,used for IRR check,
17,stu_KCGJR0046I,I love shopping,0.6811195179999999,30,positive,clara,
17,stu_KCGJR0046I,I love shopping,0.6811195179999999,24,positive,clara,
18,stu_KCGJR0046I,I love eating,0.715476283,31,positive,clara,
18,stu_KCGJR0046I,I love eating,0.715476283,24,positive,clara,
19,stu_KCGJR0046I,I am cool,0.8566344709999999,46,positive,clara,
20,stu_KCGJR0046I,I am a sweet and salty person,0.668932987,44,neutral,clara,
1,stu_KHMHV6549P,a child,0.122089962,4,child,frank,
2,stu_KHMHV6549P,a girl,0.620849375,2,girl,clara,
3,stu_KHMHV6549P,a baker,0.6802301070000001,31,neutral,clara,
4,stu_KHMHV6549P,a student,0.027670907999999998,14,neutral,used for IRR check,
5,stu_KHMHV6549P,a best friend,0.570365556,10,positive,clara,
6,stu_KHMHV6549P,a sister,0.17689173100000002,12,neutral,frank,
6,stu_KHMHV6549P,a sister,0.17689173100000002,2,girl,frank,
7,stu_KHMHV6549P,a dog owner,0.47926490299999996,32,none,frank,
8,stu_KHMHV6549P,a friend,0.6045921710000001,10,neutral,clara,
9,stu_KHMHV6549P,a sneaker head,0.174296582,30,neutral,frank,
10,stu_KHMHV6549P,a stylest,0.611698425,30,neutral,clara,
11,stu_KHMHV6549P,a latio,0.21803023800000002,7,latino,frank,
12,stu_KHMHV6549P,a helper,0.199183255,44,positive,frank,
13,stu_KHMHV6549P,a fan,0.321263156,48,none,frank,
14,stu_KHMHV6549P,a typer,0.444514887,27,neutral,frank,
15,stu_KHMHV6549P,a book worm,0.612012952,25,neutral,clara,
16,stu_KHMHV6549P,a 12 yearold,0.030688225,4,12,used for IRR check,
17,stu_KHMHV6549P,a smartie,0.008269081,43,positive,used for IRR check,
1,stu_KZEBH3470C,my favorite color is pink almost everything I own is pink.,0.536468936,24,positive,frank,
2,stu_KZEBH3470C,I'm Brazilian.,0.12089248400000001,7,brazilian,frank,
3,stu_KZEBH3470C,I am an overthinker at times.,0.128546192,45,negative,frank,
4,stu_KZEBH3470C,I do dance.,0.968996972,26,neutral,clara,
5,stu_KZEBH3470C,I am a girl.,0.400788081,2,girl,frank,
6,stu_KZEBH3470C,I workout every week.,0.9611149859999999,29,neutral,clara,
7,stu_KZEBH3470C,My favorite food is rice.,0.24681967100000002,24,positive,frank,
8,stu_KZEBH3470C,I have glasses.,0.312228624,35,neutral,frank,
9,stu_KZEBH3470C,My hair is dyed to be pink but now is blonde.,0.278408557,35,neutral,frank,
10,stu_KZEBH3470C,I speak Portuguese.,0.058132591,31,neutral,used for IRR check,language
11,stu_KZEBH3470C,I'm not athletic,0.43076950700000005,43,neutral,frank,
12,stu_KZEBH3470C,I like writing.,0.761014477,25,positive,clara,
12,stu_KZEBH3470C,I like writing.,0.761014477,24,positive,clara,
13,stu_KZEBH3470C,I'm not strong in math,0.051148328,25,negative,used for IRR check,
14,stu_KZEBH3470C,I am more strong in English.,0.9747198159999999,25,positive,clara,
14,stu_KZEBH3470C,I am more strong in English.,0.9747198159999999,14,positive,clara,
15,stu_KZEBH3470C,Pronouns are she/her.,0.331777926,2,she/her,frank,
16,stu_KZEBH3470C,I'm straight.,0.158872089,3,straight,frank,
17,stu_KZEBH3470C,I stress a lot over little things.,0.45384479899999997,45,negative,frank,
18,stu_KZEBH3470C,I'm hard on myself.,0.299719719,45,neutal,frank,
19,stu_KZEBH3470C,I get nervous.,0.26492747,45,neutral,frank,
20,stu_KZEBH3470C,I was stressed about answering these questions.,0.820807242,47,negative,clara,
2,stu_LLHUT8775H,human,0.38793760899999996,21,none,frank,
2,stu_LLHUT8775H,grown kid,0.479354455,4,child,frank,
4,stu_LLHUT8775H,someone,0.025783767000000003,21,none,used for IRR check,
4,stu_LLHUT8775H,person,0.249151873,21,none,frank,
6,stu_LLHUT8775H,somebody,0.297678503,19,none,frank,
6,stu_LLHUT8775H,kid,0.865422445,22,child,clara,
6,stu_LLHUT8775H,kid,0.865422445,4,child,clara,
8,stu_LLHUT8775H,someone you don't know,0.168698063,48,none,frank,
8,stu_LLHUT8775H,girl,0.45794880299999996,2,girl,frank,
10,stu_LLHUT8775H,lady,0.18650251899999998,2,girl,frank,
10,stu_LLHUT8775H,somebody you don't know,0.656743224,20,none,clara,
12,stu_LLHUT8775H,woman,0.612743548,2,woman,clara,
12,stu_LLHUT8775H,student,0.9231253220000001,14,neutral,clara,
14,stu_LLHUT8775H,someone you will or not meet,0.103013223,48,none,frank,
14,stu_LLHUT8775H,not a monster,0.9642908309999999,40,positive,clara,
16,stu_LLHUT8775H,not an animal,0.290308728,48,none,frank,
16,stu_LLHUT8775H,somebody you will or not meet,0.384355114,20,none,frank,
18,stu_LLHUT8775H,not an alien,0.540344698,21,none,clara,
18,stu_LLHUT8775H,normal kid,0.8965872909999999,46,neutral,clara,
18,stu_LLHUT8775H,normal kid,0.8965872909999999,4,child,clara,
18,stu_LLHUT8775H,normal kid,0.8965872909999999,22,child,clara,
20,stu_LLHUT8775H,little kid,0.05582983,22,child,used for IRR check,
20,stu_LLHUT8775H,little kid,0.05582983,4,child,used for IRR check,
20,stu_LLHUT8775H,normal human,0.9192186809999999,46,neutral,clara,
20,stu_LLHUT8775H,normal human,0.9192186809999999,21,none,clara,
1,stu_LMIGF8560S,smart,0.894275574,43,positive,clara,
2,stu_LMIGF8560S,strong,0.619846354,35,positive,clara,
3,stu_LMIGF8560S,confident,0.8389593679999999,43,positive,clara,
4,stu_LMIGF8560S,brave,0.036759642,43,positive,used for IRR check,
5,stu_LMIGF8560S,kindly,0.026700994,44,positive,used for IRR check,
6,stu_LMIGF8560S,tall,0.35456809899999997,35,neutral,frank,
7,stu_LMIGF8560S,confident,0.326140565,45,positive,frank,
8,stu_LMIGF8560S,respectful,0.10031937199999999,40,positive,frank,
9,stu_LMIGF8560S,young,0.167964925,4,child,frank,
10,stu_LMIGF8560S,handsome,0.610906131,35,positive,clara,
11,stu_LMIGF8560S,playful,0.40049587200000003,44,positive,frank,
12,stu_LMIGF8560S,anoying sometimes,0.073353154,46,negative,used for IRR check,
13,stu_LMIGF8560S,patient,0.562503255,45,positive,clara,
14,stu_LMIGF8560S,participater,0.225802814,31,neutral,frank,
15,stu_LMIGF8560S,sportful,0.8914199540000001,29,neutral,clara,
16,stu_LMIGF8560S,focus,0.247253101,48,none,frank,
17,stu_LMIGF8560S,courage,0.258458793,48,none,frank,
18,stu_LMIGF8560S,anime watcher,0.25435773,31,neutral,frank,
19,stu_LMIGF8560S,motivator,0.545797371,44,positive,clara,
20,stu_LMIGF8560S,I love every class,0.6235649870000001,14,positive,clara,
1,stu_LOGLA0073Z,I am a video game developer,0.90413439,28,neutral,clara,
2,stu_LOGLA0073Z,I am a 6th grader in [school name],0.63230018,22,6thgrade,clara,
2,stu_LOGLA0073Z,I am a 6th grader in [school name],0.63230018,4,6thgrade,clara,
2,stu_LOGLA0073Z,I am a 6th grader in [school name],0.63230018,14,neutral,clara,
3,stu_LOGLA0073Z,I am a person that plays video games,0.732012225,28,neutral,clara,
4,stu_LOGLA0073Z,I am somebody who completed Lexia early.,0.096016469,14,positive,used for IRR check,
5,stu_LOGLA0073Z,I am somebody that finished Mathia early,0.314222073,47,neutral,frank,
6,stu_LOGLA0073Z,I am brave,0.600177277,43,positive,clara,
7,stu_LOGLA0073Z,I am somebody that is in [honor society name],0.242516048,25,neutral,frank,
8,stu_LOGLA0073Z,I am somebody that is frustrated with Mathstream.,0.39746318,47,negative,frank,
9,stu_LOGLA0073Z,I am somebody that enjoys math.,0.277282782,25,positive,frank,
9,stu_LOGLA0073Z,I am somebody that enjoys math.,0.277282782,24,positive,frank,
10,stu_LOGLA0073Z,I am someone that loves reading.,0.277362588,25,positive,frank,
10,stu_LOGLA0073Z,I am someone that loves reading.,0.277362588,24,positive,frank,
11,stu_LOGLA0073Z,I am somebody that loves speaking my mind about problems.,0.708971198,41,positive,clara,
11,stu_LOGLA0073Z,I am somebody that loves speaking my mind about problems.,0.708971198,24,positive,clara,
12,stu_LOGLA0073Z,I am somebody that won an eversource challenge,0.9095814759999999,43,positive,clara,
13,stu_LOGLA0073Z,I am somebody that finished cub scouts,0.543354408,43,positive,clara,
14,stu_LOGLA0073Z,I am somebody that got [ranking] place in the pinewood derby,0.125686521,29,neutral,frank,
15,stu_LOGLA0073Z,I am somebody who has an amazing family,0.21042092,12,positive,frank,
16,stu_LOGLA0073Z,I am funny.,0.872215532,46,positive,clara,
17,stu_LOGLA0073Z,I am someone that is distracted easily,0.8084292009999999,41,negative,clara,
18,stu_LOGLA0073Z,I am someone that has awesome friends.,0.9258441340000001,10,positive,clara,
19,stu_LOGLA0073Z,I am somebody that is extremely curious in science.,0.738491048,25,positive,clara,
20,stu_LOGLA0073Z,I am somebody that loves lots of music.,0.806089037,26,positive,clara,
20,stu_LOGLA0073Z,I am somebody that loves lots of music.,0.806089037,24,positive,clara,
1,stu_LZYOJ9601W,I 'am smart,0.49589351200000004,43,positive,frank,
2,stu_LZYOJ9601W,I' am calm,0.573117714,45,neutral,clara,
3,stu_LZYOJ9601W,I 'am tall,0.730366098,35,neutral,clara,
4,stu_LZYOJ9601W,I'am funny,0.083343949,45,positive,used for IRR check,
5,stu_LZYOJ9601W,I'am like sports,0.584985915,24,positive,clara,
6,stu_LZYOJ9601W,I'am like gril,0.912398837,48,none,clara,
7,stu_LZYOJ9601W,I 'dont like to listen,0.7409487779999999,45,negative,clara,
8,stu_LZYOJ9601W,I like  play soccer,0.704822023,29,positive,clara,
8,stu_LZYOJ9601W,I like  play soccer,0.704822023,24,positive,clara,
9,stu_LZYOJ9601W,"I, like shoes",0.532467502,24,positive,frank,
10,stu_LZYOJ9601W,I love my sicience class,0.17507582100000002,25,positive,frank,
10,stu_LZYOJ9601W,I love my sicience class,0.17507582100000002,24,positive,frank,
11,stu_LZYOJ9601W,I'm pretty,0.511152161,35,positive,frank,
12,stu_LZYOJ9601W,I'm beliver,0.30721628300000003,5,none,frank,
13,stu_LZYOJ9601W,"I,m like phone",0.299628399,24,positive,frank,
14,stu_LZYOJ9601W,"I,m like eat",0.7762664570000001,48,none,clara,
15,stu_LZYOJ9601W,"""I'm like music",0.636316956,24,positive,clara,
16,stu_LZYOJ9601W,"I,m like christiano ronaldo",0.957590552,24,positive,clara,
17,stu_LZYOJ9601W,"I,m like cardi b",0.399929482,45,neutral,frank,
18,stu_LZYOJ9601W,"I,m like hati foods",0.117629225,24,positive,frank,
19,stu_LZYOJ9601W,"i,m like wachtings movies",0.569299876,31,positive,clara,
19,stu_LZYOJ9601W,"i,m like wachtings movies",0.569299876,24,positive,clara,
20,stu_LZYOJ9601W,"I,m like gentil",0.842554435,48,none,clara,
1,stu_MHVWW3327H,a boy,0.943522593,2,boy,clara,
2,stu_MHVWW3327H,a base ball player,0.286695102,29,neutral,frank,
3,stu_MHVWW3327H,a kid,0.037142682,22,child,used for IRR check,
3,stu_MHVWW3327H,a kid,0.037142682,4,child,used for IRR check,
4,stu_MHVWW3327H,I want to be a author,0.342694654,13,neutral,frank,
5,stu_MHVWW3327H,I think I am funny,0.334010197,45,positive,frank,
6,stu_MHVWW3327H,happy,0.59808881,45,positive,clara,
7,stu_MHVWW3327H,a person,0.902995239,21,none,clara,
8,stu_MHVWW3327H,a math guy,0.960436098,25,neutral,clara,
8,stu_MHVWW3327H,a math guy,0.960436098,2,boy,clara,
9,stu_MHVWW3327H,a ELA guy,0.598310595,14,neutral,clara,
10,stu_MHVWW3327H,I like to draw,0.7640419540000001,26,positive,clara,
10,stu_MHVWW3327H,I like to draw,0.7640419540000001,24,positive,clara,
11,stu_MHVWW3327H,I to play video games,0.9756543129999999,28,neutral,clara,
12,stu_MHVWW3327H,I like to play with my friends,0.323594844,14,positive,frank,
12,stu_MHVWW3327H,I like to play with my friends,0.323594844,10,positive,frank,
13,stu_MHVWW3327H,I like to play with my family,0.111049255,24,positive,frank,
13,stu_MHVWW3327H,I like to play with my family,0.111049255,12,positive,frank,
14,stu_MHVWW3327H,I only drink water,0.769674376,31,neutral,clara,
15,stu_MHVWW3327H,I really like fries,0.766249737,24,positive,clara,
16,stu_MHVWW3327H,I really like bacon,0.090415988,24,positive,used for IRR check,
17,stu_MHVWW3327H,I really like breakfast food,0.127461679,24,positive,frank,
18,stu_MHVWW3327H,I really like brunch,0.516125708,24,positive,frank,
19,stu_MHVWW3327H,I like amusement parks,0.557949404,24,positive,clara,
20,stu_MHVWW3327H,I like super hero's (Spider man,0.8032335420000001,24,positive,clara,
1,stu_MXXDK3270V,I am young black girl.,0.630394351,6,black,clara,
1,stu_MXXDK3270V,I am young black girl.,0.630394351,2,girl,clara,
1,stu_MXXDK3270V,I am young black girl.,0.630394351,4,young,clara,
2,stu_MXXDK3270V,I am a student at [school name] Middle School.,0.268835492,22,middleschooler,frank,
2,stu_MXXDK3270V,I am a student at [school name] Middle School.,0.268835492,14,neutral,frank,
3,stu_MXXDK3270V,I am cape verden.,0.634412573,7,cape verdean,clara,
4,stu_MXXDK3270V,I'm someone who loves to dance.,0.768345334,26,positive,clara,
4,stu_MXXDK3270V,I'm someone who loves to dance.,0.768345334,24,positive,clara,
5,stu_MXXDK3270V,I'm someone who wants [city name of school] to be a better place.,0.203555674,47,neutral,frank,
6,stu_MXXDK3270V,I am someone who loves my family,0.25154749,24,positive,frank,
6,stu_MXXDK3270V,I am someone who loves my family,0.25154749,12,positive,frank,
7,stu_MXXDK3270V,I am a hardworking young girl,0.647276813,41,positive,clara,
7,stu_MXXDK3270V,I am a hardworking young girl,0.647276813,2,girl,clara,
7,stu_MXXDK3270V,I am a hardworking young girl,0.647276813,4,young,clara,
8,stu_MXXDK3270V,I am someone who has good grades,0.577515343,14,positive,clara,
9,stu_MXXDK3270V,I am someone who would love to be a better person and just have a good life with being me.,0.7369225709999999,41,positive,clara,
9,stu_MXXDK3270V,I am someone who would love to be a better person and just have a good life with being me.,0.7369225709999999,19,none,clara,
10,stu_MXXDK3270V,I am someone who is emotional.,0.644617448,45,neutral,clara,
11,stu_MXXDK3270V,I am someone who likes basketball.,0.17745762399999998,24,positive,frank,
12,stu_MXXDK3270V,I am someone who likes being alone.,0.454273466,44,neutral,frank,
13,stu_MXXDK3270V,I am someone who would do anything to save the people important in my life.,0.6712657129999999,44,positive,clara,
13,stu_MXXDK3270V,I am someone who would do anything to save the people important in my life.,0.6712657129999999,41,positive,clara,
14,stu_MXXDK3270V,I am someone who is a big sister maybe not the best but I am a sister.,0.589130401,12,negative,clara,
14,stu_MXXDK3270V,I am someone who is a big sister maybe not the best but I am a sister.,0.589130401,2,girl,clara,
15,stu_MXXDK3270V,I am someone who likes to help people,0.051933497,44,positive,used for IRR check,
16,stu_MXXDK3270V,I am someone who wants everyone to be peaceful.,0.248325904,42,none,frank,
17,stu_MXXDK3270V,"I am a daughter, cousin, sister.",0.496509494,12,neutral,frank,
17,stu_MXXDK3270V,"I am a daughter, cousin, sister.",0.496509494,2,girl,frank,
18,stu_MXXDK3270V,I am someone who wants to have fame,0.045972986,41,positive,used for IRR check,
19,stu_MXXDK3270V,"I am someone who is active, and energetic.",0.885978602,44,positive,clara,
20,stu_MXXDK3270V,"I am someone who loves people, clothes, shoes, and once I heard the question who am I, I didn't know but I finally found my true self.",0.542875397,24,positive,clara,
20,stu_MXXDK3270V,"I am someone who loves people, clothes, shoes, and once I heard the question who am I, I didn't know but I finally found my true self.",0.542875397,19,none,clara,
1,stu_NEKRF5472J,student,0.537231944,14,neutral,frank,
2,stu_NEKRF5472J,kind,0.090013539,44,positive,used for IRR check,
3,stu_NEKRF5472J,respectful,0.558189582,44,positive,clara,
4,stu_NEKRF5472J,responsible,0.5719806789999999,43,positive,clara,
5,stu_NEKRF5472J,loyal,0.7526605470000001,40,positive,clara,
6,stu_NEKRF5472J,CV,0.9552592209999999,48,none,clara,
7,stu_NEKRF5472J,hardworking,0.8368397890000001,41,positive,clara,
8,stu_NEKRF5472J,smart,0.146194311,43,positive,frank,
9,stu_NEKRF5472J,caring,0.570716908,44,positive,clara,
10,stu_NEKRF5472J,creative,0.5670270279999999,43,positive,clara,
11,stu_NEKRF5472J,A kid,0.281628402,4,child,frank,
12,stu_NEKRF5472J,a friend,0.47345241299999996,10,neutral,frank,
13,stu_NEKRF5472J,a daughter,0.54904826,12,neutral,clara,
13,stu_NEKRF5472J,a daughter,0.54904826,2,girl,clara,
14,stu_NEKRF5472J,nice,0.094512696,44,positive,used for IRR check,
15,stu_NEKRF5472J,brave,0.7346906190000001,41,positive,clara,
16,stu_NEKRF5472J,achiever,0.568519067,41,positive,clara,
17,stu_NEKRF5472J,listener,0.507223202,44,positive,frank,
18,stu_NEKRF5472J,leader,0.16595135800000002,44,positive,frank,
19,stu_NEKRF5472J,awesome,0.526630704,43,positive,frank,
20,stu_NEKRF5472J,intelligent,0.895706033,43,positive,clara,
1,stu_NOZOJ9789V,artistic,0.829852768,43,positive,clara,
2,stu_NOZOJ9789V,kind,0.139062207,44,positive,frank,
3,stu_NOZOJ9789V,funny,0.323786136,45,positive,frank,
4,stu_NOZOJ9789V,nice,0.523928072,44,positive,frank,
5,stu_NOZOJ9789V,friendly,0.39588001899999997,44,positive,frank,
6,stu_NOZOJ9789V,boring,0.6914012140000001,46,negative,clara,
7,stu_NOZOJ9789V,short,0.33270037,35,neutral,frank,
8,stu_NOZOJ9789V,smart,0.922891252,43,positive,clara,
9,stu_NOZOJ9789V,a person,0.831185517,21,none,clara,
10,stu_NOZOJ9789V,not tall,0.038232337000000005,35,neutral,used for IRR check,
11,stu_NOZOJ9789V,white,0.842798575,6,white,clara,
12,stu_NOZOJ9789V,American,0.951448605,8,american,clara,
13,stu_NOZOJ9789V,Germen,0.5329981460000001,7,german,frank,
14,stu_NOZOJ9789V,Irish,0.884272114,7,irish,clara,
15,stu_NOZOJ9789V,British,0.072697522,8,british,used for IRR check,
16,stu_NOZOJ9789V,Portuguese,0.38643626299999995,7,portuguese,frank,
17,stu_NOZOJ9789V,Ukrainian,0.22827095100000003,7,ukrainian,frank,
18,stu_NOZOJ9789V,Blind,0.254318608,36,neutral,frank,
19,stu_NOZOJ9789V,I like the Dallas Mavericks,0.19315268800000002,24,positive,frank,
