anon_userid,Answer Rank,Who Am I?,Code,Valence
stu_TBLLD7751R,20,I am [FIRST & LAST NAME],5.0,none
stu_TBLLD7751R,2,Student,14.0,neutral
stu_TBLLD7751R,4,myself,19.0,none
stu_TBLLD7751R,16,unhappy,45.0,negative
stu_TBLLD7751R,12,popular (Alot of my close friends say this),46.0,positive
stu_TBLLD7751R,15,unstable,42.0,negative
stu_TBLLD7751R,6,Bisexual,3.0,bisexual
stu_TBLLD7751R,10,stupid,43.0,negative
stu_TBLLD7751R,18,talkative,44.0,neutral
stu_TBLLD7751R,7,happy,45.0,positive
stu_TBLLD7751R,14,male,1.0,m
stu_TBLLD7751R,8,crazy,45.0,neutral
stu_TBLLD7751R,9,smart,43.0,positive
stu_TBLLD7751R,5,awake,47.0,neutral
stu_TBLLD7751R,11,interesting,40.0,positive
stu_TZHMJ7937V,18,courages,41.0,positive
stu_TZHMJ7937V,1,i am a latino,7.0,latino
stu_TZHMJ7937V,17,intellegente,,
stu_TZHMJ7937V,5,i have too many uncles to count,12.0,neutral
stu_TZHMJ7937V,19,strong,43.0,positive
stu_TZHMJ7937V,2,i am a 15 years old,4.0,15
stu_TZHMJ7937V,6,my only grandparent lives in mexico,12.0,neutral
stu_TZHMJ7937V,13,i am lazy,41.0,negative
stu_TZHMJ7937V,12,i have 5 family members,12.0,neutral
stu_TZHMJ7937V,11,my favorite show is dragon ball,24.0,positive
stu_TZHMJ7937V,3,i am an A student,14.0,positive
stu_TZHMJ7937V,8,i am the best at math in my family,25.0,positive
stu_TZHMJ7937V,7,i am the tallest in my family,35.0,neutral
stu_TZHMJ7937V,10,i love video games,28.0,positive
stu_TZHMJ7937V,10,i love video games,24.0,positive
stu_TZHMJ7937V,16,funny,44.0,positive
stu_TZHMJ7937V,9,i teach my older brother math,12.0,neutral
stu_TZHMJ7937V,20,hard working,41.0,positive
stu_TZHMJ7937V,15,tall,35.0,neutral
stu_TZHMJ7937V,4,i am the youngest son,12.0,neutral
stu_TZHMJ7937V,4,i am the youngest son,2.0,boy
stu_TZHMJ7937V,14,i am for the most part joyful,45.0,positive
stu_UGGVA3982I,17,SINGING IS AWESOME!!!,26.0,positive
stu_UGGVA3982I,20,I LOVE VOLLEYBALL!!!!!??,29.0,positive
stu_UGGVA3982I,20,I LOVE VOLLEYBALL!!!!!??,24.0,positive
stu_UGGVA3982I,1,I am a volleyball player.,29.0,neutral
stu_UGGVA3982I,19,I hate snakes and cats (FIRST NAME & ANOTHER FIRST NAME).,24.0,negative
stu_UGGVA3982I,3,I am an actress.,26.0,neutral
stu_UGGVA3982I,12,Mathia is better then iready.,47.0,positive
stu_UGGVA3982I,2,I am a singer.,26.0,neutral
stu_UGGVA3982I,13,VOLLEYBALL IS AWESOME!!!!!,29.0,positive
stu_UGGVA3982I,9,I love songwriting.,26.0,positive
stu_UGGVA3982I,9,I love songwriting.,24.0,positive
stu_UGGVA3982I,14,I am in 8th grade.,22.0,8thgrade
stu_UGGVA3982I,14,I am in 8th grade.,4.0,8thgrade
stu_UGGVA3982I,14,I am in 8th grade.,14.0,neutral
stu_UGGVA3982I,15,I am 14.,4.0,14
stu_UGGVA3982I,8,I love music.,24.0,positive
stu_UGGVA3982I,18,Drawing funny things is fun.,26.0,positive
stu_UGGVA3982I,6,I am a Star Wars fan.,24.0,positive
stu_UGGVA3982I,16,I like writing poems.,26.0,neutral
stu_UGGVA3982I,16,I like writing poems.,24.0,positive
stu_UGGVA3982I,16,I like writing poems.,25.0,neutral
stu_UGGVA3982I,11,I like using Staedtler erasers.,31.0,neutral
stu_UGGVA3982I,11,I like using Staedtler erasers.,24.0,positive
stu_UGGVA3982I,7,I am a Marvel fan.,24.0,positive
stu_UGGVA3982I,5,I am a ukulele player.,26.0,neutral
stu_UGGVA3982I,10,I love my friends.,24.0,positive
stu_UGGVA3982I,10,I love my friends.,10.0,neutral
stu_UGGVA3982I,4,I am a piano player.,26.0,neutral
stu_VVZZF7786I,3,a hopeless romantic,45.0,positive
stu_VVZZF7786I,4,a singer,26.0,neutral
stu_VVZZF7786I,15,a comedian,45.0,positive
stu_VVZZF7786I,2,a poet,26.0,neutral
stu_VVZZF7786I,17,a dog lover,24.0,positive
stu_VVZZF7786I,5,a romance novel lover,25.0,positive
stu_VVZZF7786I,5,a romance novel lover,24.0,positive
stu_VVZZF7786I,16,someone who loves their hair curlers,31.0,positive
stu_VVZZF7786I,16,someone who loves their hair curlers,24.0,positive
stu_VVZZF7786I,8,a mushroom lover,24.0,positive
stu_VVZZF7786I,6,an emotional person,45.0,neutral
stu_VVZZF7786I,9,an artistic mind,26.0,positive
stu_VVZZF7786I,13,an old soul,19.0,none
stu_VVZZF7786I,19,a swiftie,24.0,positive
stu_VVZZF7786I,18,[A POPULAR TV SHOW WEBSITE] member,27.0,neutral
stu_VVZZF7786I,1,A swimmer,29.0,neutral
stu_VVZZF7786I,14,a passionate athlete,29.0,positive
stu_VVZZF7786I,12,a music lover,26.0,neutral
stu_VVZZF7786I,12,a music lover,24.0,positive
stu_VVZZF7786I,7,a pisces,22.0,pisces
stu_VVZZF7786I,20,a stresser,45.0,neutral
stu_VVZZF7786I,10,a shoe collector,30.0,neutral
stu_VVZZF7786I,11,someone who is allergic to pollen,36.0,neutral
stu_XDOLV9291L,7,ur great grandma,48.0,none
stu_XDOLV9291L,9,a straight person,3.0,straight
stu_XDOLV9291L,19,[FRIEND'S FIRST NAME] father,10.0,neutral
stu_XDOLV9291L,17,TREEE,48.0,none
stu_XDOLV9291L,15,They hating,48.0,none
stu_XDOLV9291L,6,ur grandpa,48.0,none
stu_XDOLV9291L,16,told me to try to catch them dirty,48.0,none
stu_XDOLV9291L,18,[FAMOUS BASEBALL PLAYER],48.0,none
stu_XDOLV9291L,12,A Table,48.0,none
stu_XDOLV9291L,8,ur great grandpa,48.0,none
stu_XDOLV9291L,13,Helicopter Helicopter,48.0,none
stu_XDOLV9291L,3,ur uncle,48.0,none
stu_XDOLV9291L,1,ur mother,48.0,none
stu_XDOLV9291L,11,I don't know you tell me,20.0,none
stu_XDOLV9291L,5,ur grandma,48.0,none
stu_XDOLV9291L,20,POKEMON GOTTA CATCH THEM ALL,28.0,neutral
stu_XDOLV9291L,4,ur aunt,48.0,none
stu_XDOLV9291L,2,ur father,48.0,none
stu_XDOLV9291L,10,[FIRST & LAST NAME],5.0,none
stu_XDOLV9291L,14,They see me rolling,48.0,none
stu_ZCTSK2718U,1,A female.,1.0,female
stu_ZCTSK2718U,6,Someone that is failing my classes.,14.0,negative
stu_ZCTSK2718U,13,Water polo player.,29.0,neutral
stu_ZCTSK2718U,2,I am white/European and Armenian.  Like the Kardashians :).,7.0,armenian
stu_ZCTSK2718U,2,I am white/European and Armenian.  Like the Kardashians :).,6.0,white
stu_ZCTSK2718U,4,Someone with adhd.,38.0,none
stu_ZCTSK2718U,11,Sister.,12.0,positive
stu_ZCTSK2718U,11,Sister.,2.0,girl
stu_ZCTSK2718U,18,,48.0,none
stu_ZCTSK2718U,12,Friend.,10.0,neutral
stu_ZCTSK2718U,16,,48.0,none
stu_ZCTSK2718U,5,Someone with anxiety.,37.0,neutral
stu_ZCTSK2718U,10,I am very privileged money wise and very grateful for it.,34.0,rich
stu_ZCTSK2718U,8,Atheist.,16.0,atheist
stu_ZCTSK2718U,9,Supporter of the lgbtq+ community and blm.,23.0,"lgbtq,blm supporter"
stu_ZCTSK2718U,7,Pansexual.,3.0,pansexual
stu_ZCTSK2718U,19,,48.0,none
stu_ZCTSK2718U,3,Someone that was depressed over Covid.,37.0,neutral
stu_ZCTSK2718U,17,,48.0,none
stu_ZWGAX6637V,16,A child,22.0,child
stu_ZWGAX6637V,16,A child,4.0,child
stu_ZWGAX6637V,10,A human,21.0,none
stu_ZWGAX6637V,1,A middle schooler,22.0,middle schooler
stu_ZWGAX6637V,18,A person,21.0,none
stu_ZWGAX6637V,6,A human,21.0,none
stu_ZWGAX6637V,13,A person filling out this survey.,47.0,neutral
stu_ZWGAX6637V,5,A nintendo fan in general,28.0,positive
stu_ZWGAX6637V,5,A nintendo fan in general,24.0,positive
stu_ZWGAX6637V,20,A DC hater kind of,24.0,negative
stu_ZWGAX6637V,7,A proud Armenian,7.0,armenian
stu_ZWGAX6637V,14,A Mr. [TEACHER NAME] hater,24.0,negative
stu_ZWGAX6637V,15,A minor,4.0,child
stu_ZWGAX6637V,2,A kid who is good at math,25.0,positive
stu_ZWGAX6637V,2,A kid who is good at math,4.0,child
stu_ZWGAX6637V,17,A person,21.0,none
stu_ZWGAX6637V,19,A Marvel and Star Wars fan,24.0,positive
stu_ZWGAX6637V,8,A very nonathletic person,29.0,neutral
stu_ZWGAX6637V,3,A pokemon fan,27.0,neutral
stu_ZWGAX6637V,3,A pokemon fan,24.0,positive
stu_ZWGAX6637V,4,A zelda fan,29.0,neutral
stu_ZWGAX6637V,4,A zelda fan,24.0,positive
stu_ZWGAX6637V,11,A dude,2.0,boy
stu_ZWGAX6637V,9,A person,19.0,none
stu_ZWGAX6637V,12,A Mathia user,22.0,mathia user
